id,username,password,email,fullname,avatar,dob,last_activate,create_time
1,admin,admin,admin@gmail.com,Admin,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Welchcorgipembroke.JPG/1920px-Welchcorgipembroke.JPG,,,
2,student,$2b$12$mKiyafcRqa6wFg3N6/YQJOuoVbEyGAZB0gDQ5Tbac9meAF11ZTZ5q,student@gmail.com,Student,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Welchcorgipembroke.JPG/1920px-Welchcorgipembroke.JPG,,,
3,guest,$2b$12$B37dlhMQMbLVpk/IUMpdluN5lNTEqNz5yilOGfB2zmZ5rPhQ0dggC,guest@gmail.com,Guest,,,,
4,student1,$2b$12$mKiyafcRqa6wFg3N6/YQJOuoVbEyGAZB0gDQ5Tbac9meAF11ZTZ5q,student1@gmail.com,Student1,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Welchcorgipembroke.JPG/1920px-Welchcorgipembroke.JPG,,,
5,student2,$2b$12$mKiyafcRqa6wFg3N6/YQJOuoVbEyGAZB0gDQ5Tbac9meAF11ZTZ5q,student2@gmail.com,Student2,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Welchcorgipembroke.JPG/1920px-Welchcorgipembroke.JPG,,,
6,student3,$2b$12$mKiyafcRqa6wFg3N6/YQJOuoVbEyGAZB0gDQ5Tbac9meAF11ZTZ5q,student3@gmail.com,Student3,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Welchcorgipembroke.JPG/1920px-Welchcorgipembroke.JPG,,,
7,student4,$2b$12$mKiyafcRqa6wFg3N6/YQJOuoVbEyGAZB0gDQ5Tbac9meAF11ZTZ5q,student4@gmail.com,Student4,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Welchcorgipembroke.JPG/1920px-Welchcorgipembroke.JPG,,,
8,student5,$2b$12$mKiyafcRqa6wFg3N6/YQJOuoVbEyGAZB0gDQ5Tbac9meAF11ZTZ5q,student5@gmail.com,Student5,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Welchcorgipembroke.JPG/1920px-Welchcorgipembroke.JPG,,,
9,student6,$2b$12$mKiyafcRqa6wFg3N6/YQJOuoVbEyGAZB0gDQ5Tbac9meAF11ZTZ5q,student6@gmail.com,Student6,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Welchcorgipembroke.JPG/1920px-Welchcorgipembroke.JPG,,,
10,student7,$2b$12$mKiyafcRqa6wFg3N6/YQJOuoVbEyGAZB0gDQ5Tbac9meAF11ZTZ5q,student7@gmail.com,Student7,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Welchcorgipembroke.JPG/1920px-Welchcorgipembroke.JPG,,,
